Date,Open,High,Low,Close*,Volume(MM),%Change,MACD,MACDsig,RS,RSI,Stochastic%K,Stochastic%D,Consecutive Move,Sum of % change during consecutive,Class
"Mar 01, 2010","1,105.36","1,116.11","1,105.36","1,115.71","3,847.64",1.02%,-3.45,-10.32,3.65,78.51,99.30,90.38,2.00,1.16%,5
"Mar 02, 2010","1,117.01","1,123.46","1,116.51","1,118.31","4,134.68",0.23%,-1.80,-8.62,3.15,75.91,91.97,92.36,3.00,1.39%,3
"Mar 03, 2010","1,119.36","1,125.64","1,116.58","1,118.79","3,951.32",0.04%,-0.45,-6.98,3.55,78.04,89.47,93.58,4.00,1.43%,3
"Mar 04, 2010","1,119.12","1,123.73","1,116.66","1,122.97","3,945.01",0.37%,0.95,-5.40,3.24,76.44,95.74,92.39,5.00,1.81%,4
"Mar 05, 2010","1,125.12","1,139.38","1,125.12","1,138.70","4,133.00",1.40%,3.28,-3.66,4.75,82.60,98.87,94.69,6.00,3.21%,5
"Mar 08, 2010","1,138.40","1,141.05","1,136.77","1,138.50","3,774.68",-0.02%,5.06,-1.92,3.56,78.05,95.37,96.66,1.00,-0.02%,3
"Mar 09, 2010","1,137.56","1,145.37","1,134.90","1,140.45","5,185.57",0.17%,6.56,-0.22,3.40,77.26,91.71,95.32,1.00,0.17%,3
"Mar 10, 2010","1,140.22","1,148.26","1,140.09","1,145.61","5,469.12",0.45%,8.06,1.43,3.28,76.62,95.74,94.27,2.00,0.62%,4
"Mar 11, 2010","1,143.96","1,150.24","1,138.99","1,150.24","4,669.06",0.40%,9.52,3.05,3.41,77.30,100.00,95.82,3.00,1.03%,4
"Mar 12, 2010","1,151.71","1,153.41","1,146.97","1,149.99","4,928.16",-0.02%,10.53,4.55,3.60,78.25,94.93,96.89,1.00,-0.02%,3
"Mar 15, 2010","1,148.53","1,150.98","1,141.45","1,150.51","4,164.11",0.05%,11.25,5.89,21.33,95.52,95.70,96.87,1.00,0.05%,3
"Mar 16, 2010","1,150.83","1,160.28","1,150.35","1,159.46","4,369.77",0.78%,12.39,7.19,20.72,95.40,98.90,96.51,2.00,0.82%,4
"Mar 17, 2010","1,159.94","1,169.84","1,159.94","1,166.21","4,963.20",0.58%,13.69,8.49,141.60,99.30,94.98,96.52,3.00,1.41%,4
"Mar 18, 2010","1,166.13","1,167.77","1,161.16","1,165.83","4,234.51",-0.03%,14.52,9.69,74.90,98.68,93.78,95.88,1.00,-0.03%,3
"Mar 19, 2010","1,166.68","1,169.20","1,155.33","1,159.90","5,212.41",-0.51%,14.53,10.66,7.54,88.29,81.36,90.04,2.00,-0.54%,2
"Mar 22, 2010","1,157.25","1,167.82","1,152.88","1,165.81","4,261.68",0.51%,14.84,11.50,8.03,88.92,92.43,89.19,1.00,0.51%,4
"Mar 23, 2010","1,166.47","1,174.72","1,163.83","1,174.17","4,411.64",0.72%,15.59,12.31,9.19,90.19,99.05,90.95,2.00,1.23%,4
"Mar 24, 2010","1,172.70","1,173.04","1,166.01","1,167.72","4,705.75",-0.55%,15.48,12.95,4.39,81.44,85.89,92.46,1.00,-0.55%,2
"Mar 25, 2010","1,170.03","1,180.69","1,165.09","1,165.73","5,668.90",-0.17%,15.06,13.37,2.78,73.53,67.33,84.09,2.00,-0.72%,3
"Mar 26, 2010","1,167.58","1,173.93","1,161.48","1,166.59","4,708.42",0.07%,14.62,13.62,2.87,74.18,69.21,74.14,1.00,0.07%,3
"Mar 29, 2010","1,167.71","1,174.85","1,167.71","1,173.22","4,375.58",0.57%,14.65,13.82,3.18,76.10,82.09,72.87,2.00,0.64%,4
"Mar 30, 2010","1,173.75","1,177.83","1,168.92","1,173.27","4,085.00",0.00%,14.50,13.96,2.84,73.99,82.21,77.83,3.00,0.65%,3
"Mar 31, 2010","1,171.75","1,174.56","1,165.77","1,169.43","4,484.34",-0.33%,13.92,13.95,2.02,66.87,71.30,78.53,1.00,-0.33%,2
"Apr 01, 2010","1,171.23","1,181.43","1,170.69","1,178.10","4,006.87",0.74%,13.99,13.96,2.51,71.53,91.67,81.73,1.00,0.74%,4
"Apr 05, 2010","1,178.71","1,187.73","1,178.71","1,187.44","3,881.62",0.79%,14.64,14.09,2.99,74.92,99.22,87.40,2.00,1.53%,4
"Apr 06, 2010","1,186.01","1,191.80","1,182.77","1,189.44","4,086.18",0.17%,15.13,14.30,2.61,72.32,93.94,94.94,3.00,1.70%,3
"Apr 07, 2010","1,188.23","1,189.60","1,177.25","1,182.45","5,101.43",-0.59%,14.79,14.40,1.63,62.05,75.98,89.71,1.00,-0.59%,2
"Apr 08, 2010","1,181.75","1,188.55","1,175.12","1,186.44","4,726.97",0.34%,14.68,14.46,1.82,64.51,86.23,85.38,1.00,0.34%,4
"Apr 09, 2010","1,187.47","1,194.66","1,187.15","1,194.37","4,511.57",0.67%,15.05,14.57,2.79,73.61,99.31,87.17,2.00,1.01%,4
"Apr 12, 2010","1,194.94","1,199.20","1,194.71","1,196.48","4,607.09",0.18%,15.34,14.73,2.59,72.16,92.79,92.77,3.00,1.18%,3
"Apr 13, 2010","1,195.94","1,199.04","1,188.82","1,197.30","5,403.58",0.07%,15.46,14.87,2.20,68.75,94.96,95.69,4.00,1.25%,3
"Apr 14, 2010","1,198.69","1,210.65","1,198.69","1,210.65","5,760.04",1.12%,16.44,15.19,4.35,81.30,100.00,95.92,5.00,2.37%,5
"Apr 15, 2010","1,210.77","1,213.92","1,208.50","1,211.67","5,995.33",0.08%,17.10,15.57,5.24,83.98,95.71,96.89,6.00,2.45%,3
"Apr 16, 2010","1,210.17","1,210.17","1,186.77","1,192.13","8,108.47",-1.61%,15.87,15.63,1.84,64.80,54.75,83.48,1.00,-1.61%,1
"Apr 19, 2010","1,192.06","1,197.87","1,183.68","1,197.52","6,597.74",0.45%,15.15,15.53,1.80,64.29,65.94,72.13,1.00,0.45%,4
"Apr 20, 2010","1,199.04","1,208.58","1,199.04","1,207.17","5,316.59",0.81%,15.18,15.46,2.12,67.91,85.98,68.89,2.00,1.26%,4
"Apr 21, 2010","1,207.16","1,210.99","1,198.85","1,205.94","5,724.31",-0.10%,14.94,15.36,2.32,69.84,81.54,77.82,1.00,-0.10%,3
"Apr 22, 2010","1,202.52","1,210.27","1,190.19","1,208.67","6,035.78",0.23%,14.79,15.24,2.10,67.75,86.47,84.66,1.00,0.23%,3
"Apr 23, 2010","1,207.87","1,217.28","1,205.10","1,217.28","5,326.06",0.71%,15.20,15.24,2.07,67.48,100.00,89.34,2.00,0.94%,4
"Apr 26, 2010","1,217.07","1,219.80","1,211.07","1,212.05","5,647.76",-0.43%,14.93,15.17,1.69,62.76,82.65,89.71,1.00,-0.43%,2
"Apr 27, 2010","1,209.92","1,211.38","1,181.62","1,183.71","7,454.54",-2.34%,12.28,14.60,1.02,50.57,19.23,67.29,2.00,-2.77%,1
"Apr 28, 2010","1,184.59","1,195.05","1,181.81","1,191.36","6,342.31",0.65%,10.68,13.81,1.09,52.17,25.51,42.46,1.00,0.65%,4
